bin	count
0	120
39.1007	0
78.2014	0
117.302	0
156.403	0
195.503	0
234.604	0
273.705	0
312.805	0
351.906	0
391.007	0
430.108	0
469.208	0
508.309	0
547.41	0
586.51	0
625.611	0
664.712	0
703.812	0
742.913	0
782.014	0
821.114	0
860.215	0
899.316	0
938.416	0
977.517	0
1016.62	0
1055.72	0
1094.82	0
1133.92	0
1173.02	0
1212.12	0
1251.22	0
1290.32	0
1329.42	0
1368.52	0
1407.62	0
1446.73	0
1485.83	0
1524.93	0
1564.03	0
1603.13	0
1642.23	0
1681.33	0
1720.43	0
1759.53	0
1798.63	0
1837.73	0
1876.83	0
1915.93	0
1955.03	0
1994.13	0
2033.24	0
2072.34	0
2111.44	0
2150.54	0
2189.64	0
2228.74	0
2267.84	0
2306.94	0
2346.04	0
2385.14	0
2424.24	0
2463.34	0
2502.44	0
2541.54	0
2580.65	0
2619.75	0
2658.85	0
2697.95	0
2737.05	0
2776.15	0
2815.25	0
2854.35	0
2893.45	0
2932.55	0
2971.65	0
3010.75	0
3049.85	0
3088.95	0
3128.05	0
3167.16	0
3206.26	0
3245.36	0
3284.46	0
3323.56	0
3362.66	0
3401.76	0
3440.86	0
3479.96	0
3519.06	0
3558.16	0
3597.26	0
3636.36	0
3675.46	0
3714.56	0
3753.67	0
3792.77	0
3831.87	0
3870.97	0
3910.07	0
3949.17	0
3988.27	0
4027.37	0
4066.47	0
4105.57	0
4144.67	0
4183.77	0
4222.87	0
4261.97	0
4301.08	0
4340.18	0
4379.28	0
4418.38	0
4457.48	0
4496.58	0
4535.68	0
4574.78	0
4613.88	0
4652.98	0
4692.08	0
4731.18	0
4770.28	0
4809.38	0
4848.48	0
4887.59	0
4926.69	0
4965.79	0
5004.89	0
5043.99	0
5083.09	0
5122.19	0
5161.29	0
5200.39	0
5239.49	0
5278.59	0
5317.69	0
5356.79	0
5395.89	0
5435	0
5474.1	0
5513.2	0
5552.3	0
5591.4	0
5630.5	0
5669.6	0
5708.7	0
5747.8	0
5786.9	0
5826	0
5865.1	0
5904.2	0
5943.3	0
5982.4	0
6021.51	0
6060.61	0
6099.71	0
6138.81	0
6177.91	0
6217.01	0
6256.11	0
6295.21	0
6334.31	0
6373.41	0
6412.51	0
6451.61	0
6490.71	0
6529.81	0
6568.92	0
6608.02	0
6647.12	0
6686.22	0
6725.32	0
6764.42	0
6803.52	0
6842.62	0
6881.72	0
6920.82	0
6959.92	0
6999.02	0
7038.12	0
7077.22	0
7116.32	0
7155.43	0
7194.53	0
7233.63	0
7272.73	0
7311.83	0
7350.93	0
7390.03	0
7429.13	0
7468.23	0
7507.33	0
7546.43	0
7585.53	0
7624.63	0
7663.73	0
7702.83	0
7741.94	0
7781.04	0
7820.14	0
7859.24	0
7898.34	0
7937.44	0
7976.54	0
8015.64	0
8054.74	0
8093.84	0
8132.94	0
8172.04	0
8211.14	0
8250.24	0
8289.34	0
8328.45	0
8367.55	0
8406.65	0
8445.75	0
8484.85	0
8523.95	0
8563.05	0
8602.15	0
8641.25	0
8680.35	0
